Buy Threshold,Sell Threshold,2023-06-08,2023-06-09,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-26,2023-06-27,2023-06-28,Sum
0.035,-0.155,1.54,0.56,0.14,0.43,1.7,-0.98,-0.91,3.9,-3.67,1.96,-0.47,-4.72,2.37,-0.21,1.64
0.035,-0.16,1.54,0.56,0.14,0.43,1.7,-0.98,-0.91,3.9,-3.67,1.96,-0.47,-4.72,2.37,-0.21,1.64
0.035,-0.165,1.54,0.56,0.14,0.43,1.45,-0.98,-0.91,3.9,-3.67,1.96,-0.47,-4.72,2.37,-0.21,1.39
0.035,-0.17,1.54,0.56,0.14,0.43,1.45,-0.98,-0.91,3.9,-3.67,1.96,-0.47,-4.72,2.37,-0.21,1.39
0.035,-0.175,1.54,0.56,0.14,0.43,1.45,-0.98,-0.91,3.9,-3.67,1.96,-0.47,-4.72,2.37,-0.21,1.39
0.035,-0.18,1.54,0.56,0.14,0.43,1.45,-0.98,-0.91,3.9,-3.67,1.96,-0.47,-4.72,2.37,-0.21,1.39
0.035,-0.185,1.54,0.56,0.14,0.43,1.45,-0.98,-0.91,3.9,-3.67,1.96,-0.47,-4.72,2.37,-0.21,1.39
0.035,-0.19,1.54,0.56,0.14,0.43,1.45,-0.98,-0.91,3.9,-3.67,1.96,-0.47,-4.72,2.37,-0.21,1.39
0.035,-0.195,1.54,0.56,0.14,0.43,1.45,-0.98,-0.91,3.9,-3.67,1.96,-0.47,-4.72,2.37,-0.21,1.39
0.035,-0.2,1.54,0.56,0.14,0.43,-0.55,-0.98,-0.91,3.9,-3.67,1.96,-0.47,-4.72,2.37,-0.21,-0.61
0.035,-0.205,1.54,0.56,0.14,0.43,-0.55,-0.98,-0.91,3.9,-3.67,1.96,-0.47,-4.72,2.37,-0.21,-0.61
0.035,-0.21,1.54,0.56,0.14,0.43,-0.55,-0.98,-0.91,3.9,-3.67,1.96,-0.47,-4.72,2.37,-0.21,-0.61
0.035,-0.215,1.54,0.56,0.14,0.43,-0.55,-0.98,-0.91,3.9,-3.67,1.96,-0.47,-4.72,2.37,-0.21,-0.61
0.035,-0.22,1.54,0.56,0.14,0.43,-0.55,-0.98,-0.91,3.9,-3.67,1.96,-0.47,-4.72,2.37,-0.21,-0.61
0.035,-0.225,1.54,0.56,0.14,0.43,-0.55,-0.98,-0.91,3.9,-3.67,1.96,-0.47,-4.72,2.37,-0.21,-0.61
0.035,-0.23,1.54,0.56,0.14,0.43,-0.55,-0.98,-0.91,3.9,-3.67,1.96,-0.47,-4.72,2.37,-0.21,-0.61
0.035,-0.235,1.54,0.56,0.14,0.43,-0.55,-0.98,-0.91,3.9,-3.67,1.96,-0.47,-4.72,2.37,-0.21,-0.61
0.035,-0.24,1.54,0.56,0.14,0.43,-0.55,-0.98,-0.91,3.9,-3.67,1.96,-0.47,-4.72,2.37,-0.21,-0.61
0.035,-0.245,1.54,0.56,0.14,0.43,-0.55,-0.98,-0.91,3.9,-3.67,1.96,-0.47,-4.72,2.37,-0.21,-0.61
0.03,0.0,0.24,-0.26,0.14,-0.11,-1.28,-1.01,0.11,0.4,-2.35,0.22,-0.93,-1.75,0.64,-0.64,-6.58
0.03,-0.005,0.22,0.36,0.14,-0.29,-1.2,-0.9,-0.19,0.48,-2.47,0.24,-0.95,-1.75,0.33,-0.66,-6.64
0.03,-0.01,0.49,0.12,0.14,-0.46,-1.05,-0.42,0.52,0.65,-1.98,1.3,-0.52,-1.39,0.55,-1.19,-3.24
0.03,-0.015,0.63,0.16,-0.04,-0.33,-0.4,-0.45,0.93,0.58,-1.57,1.3,-0.72,-1.8,0.82,-1.16,-2.05
0.03,-0.02,0.67,0.33,-0.06,0.01,-0.16,-0.27,0.04,0.8,-0.71,1.3,-0.71,-3.42,1.0,-1.2,-2.38
0.03,-0.025,1.09,0.39,-0.06,-0.25,-0.42,0.36,-0.58,0.8,-0.18,1.54,-0.71,-4.04,1.09,-1.03,-2.0
0.03,-0.03,1.09,0.41,-0.06,0.04,-0.2,-0.19,-0.35,0.89,-0.18,1.54,-0.8,-4.06,1.37,-1.44,-1.94
0.03,-0.035,1.89,0.41,-0.17,0.18,-0.2,-1.36,-0.35,0.85,0.21,1.54,-0.11,-4.49,1.04,-1.44,-2.0
0.03,-0.04,1.89,0.66,-0.17,0.19,1.46,-1.42,-0.29,0.91,0.3,1.27,0.54,-5.05,1.51,-1.17,0.63
0.03,-0.045,1.89,0.24,-0.17,0.19,1.23,-1.42,-0.63,1.16,0.18,1.27,0.48,-5.05,1.51,-1.39,-0.51
0.03,-0.05,1.89,-0.16,0.06,0.19,1.53,-1.37,-0.63,1.52,-0.05,1.27,0.48,-5.18,1.77,-0.81,0.51
0.03,-0.055,1.69,-0.43,0.06,0.19,1.3,-1.07,-0.66,2.59,-0.44,1.27,0.38,-5.18,1.96,-1.4,0.26
0.03,-0.06,1.69,-0.43,0.06,0.19,1.3,-1.07,-0.66,2.59,-0.5,1.27,-0.13,-5.04,1.96,-1.4,-0.17
0.03,-0.065,1.69,-0.43,0.06,0.19,1.3,-0.69,-0.66,3.13,-0.5,1.73,-0.13,-5.04,1.96,-1.88,0.73
0.03,-0.07,1.69,-0.18,-0.13,0.19,0.04,-0.69,-0.46,3.13,-2.3,1.73,-0.13,-4.96,1.96,-1.96,-2.07
0.03,-0.075,1.69,0.52,-0.13,0.43,0.58,-0.69,-0.46,3.13,-2.3,1.73,-0.13,-4.96,1.96,-1.96,-0.59
0.03,-0.08,1.69,0.52,-0.13,0.43,0.26,-0.69,-0.78,3.13,-3.09,1.73,-0.13,-4.96,1.96,-0.94,-1.0
0.03,-0.085,1.69,0.52,-0.14,0.43,1.7,-0.69,-0.78,3.13,-3.09,1.73,-0.13,-5.57,1.96,-0.94,-0.18
0.03,-0.09,1.69,0.52,-0.14,0.43,1.7,-0.93,-1.04,3.66,-3.09,1.73,-0.47,-5.57,1.96,-0.21,0.24
0.03,-0.095,1.69,0.56,-0.14,0.43,1.7,-0.93,-1.04,3.66,-3.09,1.73,-0.47,-5.57,2.37,-0.21,0.69
0.03,-0.1,1.69,0.56,-0.14,0.43,1.7,-0.93,-1.04,3.66,-3.09,1.73,-0.47,-5.57,2.37,-0.21,0.69
0.03,-0.105,1.69,0.56,-0.14,0.43,1.7,-0.93,-1.04,3.66,-3.24,2.06,-0.47,-5.57,2.37,-0.21,0.87
0.03,-0.11,1.69,0.56,-0.14,0.43,1.7,-0.93,-0.86,3.66,-3.24,2.06,-0.47,-5.57,2.37,-0.21,1.05
0.03,-0.115,1.69,0.56,-0.14,0.43,1.7,-0.93,-0.86,3.66,-3.24,2.06,-0.47,-5.57,2.37,-0.21,1.05
0.03,-0.12,1.69,0.56,-0.14,0.43,1.7,-0.93,-0.86,3.66,-3.24,2.06,-0.47,-5.57,2.37,-0.21,1.05
0.03,-0.125,1.69,0.56,-0.08,0.43,1.7,-0.98,-0.78,3.66,-3.24,1.96,-0.47,-5.01,2.37,-0.21,1.6
0.03,-0.13,1.69,0.56,-0.08,0.43,1.7,-0.98,-0.78,3.66,-3.24,1.96,-0.47,-5.01,2.37,-0.21,1.6
0.03,-0.135,1.69,0.56,-0.08,0.43,1.7,-0.98,-0.91,3.66,-3.24,1.96,-0.47,-5.01,2.37,-0.21,1.47
0.03,-0.14,1.69,0.56,-0.08,0.43,1.7,-0.98,-0.91,3.66,-3.24,1.96,-0.47,-4.93,2.37,-0.21,1.55
0.03,-0.145,1.69,0.56,-0.08,0.43,1.7,-0.98,-0.91,3.9,-3.24,1.96,-0.47,-4.93,2.37,-0.21,1.79
0.03,-0.15,1.69,0.56,-0.08,0.43,1.7,-0.98,-0.91,3.9,-3.24,1.96,-0.47,-4.93,2.37,-0.21,1.79
0.03,-0.155,1.69,0.56,-0.08,0.43,1.7,-0.98,-0.91,3.9,-3.24,1.96,-0.47,-4.93,2.37,-0.21,1.79
0.03,-0.16,1.69,0.56,-0.08,0.43,1.7,-0.98,-0.91,3.9,-3.24,1.96,-0.47,-4.93,2.37,-0.21,1.79
0.03,-0.165,1.69,0.56,-0.08,0.43,1.45,-0.98,-0.91,3.9,-3.24,1.96,-0.47,-4.93,2.37,-0.21,1.54
0.03,-0.17,1.69,0.56,-0.08,0.43,1.45,-0.98,-0.91,3.9,-3.24,1.96,-0.47,-4.93,2.37,-0.21,1.54
0.03,-0.175,1.69,0.56,-0.08,0.43,1.45,-0.98,-0.91,3.9,-3.24,1.96,-0.47,-4.93,2.37,-0.21,1.54
0.03,-0.18,1.69,0.56,-0.08,0.43,1.45,-0.98,-0.91,3.9,-3.24,1.96,-0.47,-4.93,2.37,-0.21,1.54
0.03,-0.185,1.69,0.56,-0.08,0.43,1.45,-0.98,-0.91,3.9,-3.24,1.96,-0.47,-4.93,2.37,-0.21,1.54
0.03,-0.19,1.69,0.56,-0.08,0.43,1.45,-0.98,-0.91,3.9,-3.24,1.96,-0.47,-4.93,2.37,-0.21,1.54
0.03,-0.195,1.69,0.56,-0.08,0.43,1.45,-0.98,-0.91,3.9,-3.24,1.96,-0.47,-4.93,2.37,-0.21,1.54
0.03,-0.2,1.69,0.56,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,1.96,-0.47,-4.93,2.37,-0.21,-0.46
0.03,-0.205,1.69,0.56,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,1.96,-0.47,-4.93,2.37,-0.21,-0.46
0.03,-0.21,1.69,0.56,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,1.96,-0.47,-4.93,2.37,-0.21,-0.46
0.03,-0.215,1.69,0.56,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,1.96,-0.47,-4.93,2.37,-0.21,-0.46
0.03,-0.22,1.69,0.56,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,1.96,-0.47,-4.93,2.37,-0.21,-0.46
0.03,-0.225,1.69,0.56,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,1.96,-0.47,-4.93,2.37,-0.21,-0.46
0.03,-0.23,1.69,0.56,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,1.96,-0.47,-4.93,2.37,-0.21,-0.46
0.03,-0.235,1.69,0.56,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,1.96,-0.47,-4.93,2.37,-0.21,-0.46
0.03,-0.24,1.69,0.56,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,1.96,-0.47,-4.93,2.37,-0.21,-0.46
0.03,-0.245,1.69,0.56,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,1.96,-0.47,-4.93,2.37,-0.21,-0.46
0.025,0.0,0.33,-0.15,0.17,-0.18,-0.78,-1.2,-0.13,0.75,-2.22,0.06,-0.93,-1.78,0.79,-0.16,-5.43
0.025,-0.005,0.31,0.47,0.17,-0.37,-0.7,-1.09,-0.26,0.84,-2.34,0.08,-0.95,-1.78,0.48,-0.18,-5.32
0.025,-0.01,0.96,0.23,0.17,-0.56,-0.33,-0.61,0.45,0.89,-2.0,1.16,-0.52,-1.42,0.74,-0.57,-1.41
0.025,-0.015,1.06,0.19,-0.01,-0.76,0.1,-0.64,0.86,0.82,-1.59,1.16,-0.72,-1.83,1.12,-0.54,-0.78
0.025,-0.02,1.18,0.36,-0.03,-0.74,0.45,-0.49,-0.03,1.04,-0.64,1.16,-0.71,-3.45,1.41,-0.76,-1.25
0.025,-0.025,0.97,0.42,-0.03,-0.63,0.19,0.14,-0.65,1.04,0.11,1.4,-0.71,-4.04,1.4,-0.63,-1.02
0.025,-0.03,0.97,0.44,-0.03,-0.23,0.41,-0.19,-0.42,1.13,0.28,1.33,-0.8,-4.06,1.62,-1.1,-0.65
0.025,-0.035,1.94,0.44,-0.14,-0.09,0.35,-1.36,-0.42,1.09,0.28,1.33,-0.11,-4.49,1.29,-0.69,-0.58
0.025,-0.04,1.94,0.54,-0.14,-0.08,2.01,-1.42,-0.36,1.15,0.37,1.06,0.54,-5.05,1.62,-0.42,1.76
0.025,-0.045,1.94,0.35,-0.14,-0.08,1.78,-1.42,-0.45,1.5,0.18,1.06,0.48,-5.05,2.05,-0.64,1.56
0.025,-0.05,1.94,-0.05,0.09,0.18,2.08,-1.37,-0.45,1.86,-0.05,1.06,0.48,-5.18,2.08,-0.06,2.61
0.025,-0.055,1.69,-0.32,0.09,0.18,1.41,-1.07,-0.48,3.17,-0.44,1.06,0.38,-5.18,2.33,-0.65,2.17
0.025,-0.06,1.69,-0.32,0.09,0.18,1.41,-1.07,-0.48,3.17,-0.5,1.06,-0.13,-5.04,2.33,-0.65,1.74
0.025,-0.065,1.69,-0.32,0.09,0.18,1.41,-0.69,-0.48,3.71,-0.5,1.81,-0.13,-5.04,2.33,-1.13,2.93
0.025,-0.07,1.69,-0.07,-0.1,0.18,1.38,-0.69,-0.28,3.71,-2.3,1.81,-0.13,-4.96,2.33,-1.21,1.36
0.025,-0.075,1.69,0.63,-0.1,0.43,1.92,-0.69,-0.28,3.71,-2.3,1.81,-0.13,-4.96,2.33,-1.21,2.85
0.025,-0.08,1.69,0.63,-0.1,0.43,1.6,-0.69,-0.6,3.71,-3.09,1.81,-0.13,-4.96,2.33,-0.71,1.92
0.025,-0.085,1.69,0.63,-0.11,0.43,1.7,-0.69,-0.6,3.71,-3.09,1.81,-0.13,-5.57,2.33,-0.71,1.4
0.025,-0.09,1.69,0.63,-0.11,0.43,1.7,-0.93,-0.86,3.69,-3.09,1.81,-0.47,-5.57,2.33,-0.11,1.14
0.025,-0.095,1.69,0.52,-0.11,0.43,1.7,-0.93,-0.86,3.69,-3.09,0.62,-0.47,-5.57,2.37,-0.11,-0.12
0.025,-0.1,1.69,0.52,-0.11,0.43,1.7,-0.93,-0.86,3.69,-3.09,0.62,-0.47,-5.57,2.37,-0.11,-0.12
0.025,-0.105,1.69,0.52,-0.11,0.43,1.7,-0.93,-0.86,3.69,-3.24,0.95,-0.47,-5.57,2.37,-0.11,0.06
0.025,-0.11,1.69,0.52,-0.11,0.43,1.7,-0.93,-0.68,3.69,-3.24,0.95,-0.47,-5.57,2.37,-0.11,0.24
0.025,-0.115,1.69,0.52,-0.11,0.43,1.7,-0.93,-0.68,3.69,-3.24,0.95,-0.47,-5.57,2.37,-0.11,0.24
0.025,-0.12,1.69,0.52,-0.11,0.43,1.7,-0.93,-0.68,3.69,-3.24,1.03,-0.47,-5.57,2.37,-0.11,0.32
0.025,-0.125,1.69,0.52,-0.08,0.43,1.7,-0.98,-0.78,3.69,-3.24,0.93,-0.47,-5.01,2.37,-0.11,0.66
0.025,-0.13,1.69,0.52,-0.08,0.43,1.7,-0.98,-0.78,3.69,-3.24,0.93,-0.47,-5.01,2.37,-0.11,0.66
0.025,-0.135,1.69,0.52,-0.08,0.43,1.7,-0.98,-0.91,3.69,-3.24,0.93,-0.47,-5.01,2.37,-0.11,0.53
0.025,-0.14,1.69,0.52,-0.08,0.43,1.7,-0.98,-0.91,3.69,-3.24,0.93,-0.47,-4.93,2.37,-0.11,0.61
0.025,-0.145,1.69,0.52,-0.08,0.43,1.7,-0.98,-0.91,3.9,-3.24,0.93,-0.47,-4.93,2.37,-0.11,0.82
0.025,-0.15,1.69,0.52,-0.08,0.43,1.7,-0.98,-0.91,3.9,-3.24,0.93,-0.47,-4.93,2.37,-0.11,0.82
0.025,-0.155,1.69,0.52,-0.08,0.43,1.7,-0.98,-0.91,3.9,-3.24,0.93,-0.47,-4.93,2.37,-0.11,0.82
0.025,-0.16,1.69,0.52,-0.08,0.43,1.7,-0.98,-0.91,3.9,-3.24,0.93,-0.47,-4.93,2.37,-0.11,0.82
0.025,-0.165,1.69,0.52,-0.08,0.43,1.45,-0.98,-0.91,3.9,-3.24,0.93,-0.47,-4.93,2.37,-0.11,0.57
0.025,-0.17,1.69,0.52,-0.08,0.43,1.45,-0.98,-0.91,3.9,-3.24,0.93,-0.47,-4.93,2.37,-0.11,0.57
0.025,-0.175,1.69,0.52,-0.08,0.43,1.45,-0.98,-0.91,3.9,-3.24,0.93,-0.47,-4.93,2.37,-0.11,0.57
0.025,-0.18,1.69,0.52,-0.08,0.43,1.45,-0.98,-0.91,3.9,-3.24,0.93,-0.47,-4.93,2.37,-0.11,0.57
0.025,-0.185,1.69,0.52,-0.08,0.43,1.45,-0.98,-0.91,3.9,-3.24,0.93,-0.47,-4.93,2.37,-0.11,0.57
0.025,-0.19,1.69,0.52,-0.08,0.43,1.45,-0.98,-0.91,3.9,-3.24,0.93,-0.47,-4.93,2.37,-0.11,0.57
0.025,-0.195,1.69,0.52,-0.08,0.43,1.45,-0.98,-0.91,3.9,-3.24,0.93,-0.47,-4.93,2.37,-0.11,0.57
0.025,-0.2,1.69,0.52,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,0.93,-0.47,-4.93,2.37,-0.11,-1.43
0.025,-0.205,1.69,0.52,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,0.93,-0.47,-4.93,2.37,-0.11,-1.43
0.025,-0.21,1.69,0.52,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,0.93,-0.47,-4.93,2.37,-0.11,-1.43
0.025,-0.215,1.69,0.52,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,0.93,-0.47,-4.93,2.37,-0.11,-1.43
0.025,-0.22,1.69,0.52,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,0.93,-0.47,-4.93,2.37,-0.11,-1.43
0.025,-0.225,1.69,0.52,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,0.93,-0.47,-4.93,2.37,-0.11,-1.43
0.025,-0.23,1.69,0.52,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,0.93,-0.47,-4.93,2.37,-0.11,-1.43
0.025,-0.235,1.69,0.52,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,0.93,-0.47,-4.93,2.37,-0.11,-1.43
0.025,-0.24,1.69,0.52,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,0.93,-0.47,-4.93,2.37,-0.11,-1.43
0.025,-0.245,1.69,0.52,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,0.93,-0.47,-4.93,2.37,-0.11,-1.43
0.02,0.0,0.29,-1.13,0.03,0.0,-0.05,-1.45,-0.21,0.68,-2.56,0.06,-0.74,-2.31,1.65,-0.16,-5.9
0.02,-0.005,0.27,-0.45,0.03,-0.19,0.03,-1.32,-0.34,0.77,-2.68,0.08,-0.76,-2.31,1.34,-0.18,-5.71
0.02,-0.01,0.92,-0.69,0.19,-0.38,0.4,-0.84,0.37,0.82,-1.96,1.29,-0.2,-1.95,1.41,-0.57,-1.19
0.02,-0.015,1.02,-0.54,0.07,-0.44,0.83,-1.21,0.78,0.84,-1.55,1.29,-0.4,-2.36,1.79,-0.54,-0.42
0.02,-0.02,1.14,-0.37,0.69,-0.42,1.18,-1.11,-0.44,0.89,-0.6,1.29,0.0,-4.44,2.45,-0.76,-0.5
0.02,-0.025,0.97,-1.33,0.69,-0.31,0.92,-0.4,-1.06,0.89,0.15,1.53,-0.0,-5.03,2.43,-0.63,-1.18
0.02,-0.03,0.97,-1.31,0.69,-0.18,1.14,-0.41,-0.4,1.03,0.32,1.46,0.13,-5.05,2.65,-1.1,-0.06
0.02,-0.035,1.94,-1.46,0.05,-0.04,1.08,-1.58,-0.4,0.99,0.28,1.46,0.58,-5.48,2.32,-0.69,-0.95
0.02,-0.04,1.94,-1.52,0.05,-0.03,2.74,-1.53,-0.41,1.05,0.37,1.05,1.23,-5.25,2.4,-0.42,1.67
0.02,-0.045,1.94,-0.81,0.05,-0.05,2.51,-1.53,-0.5,1.33,0.18,1.05,0.87,-5.25,2.83,-0.64,1.98
0.02,-0.05,1.94,-0.35,0.28,0.18,2.81,-1.21,-0.5,1.69,-0.05,1.05,0.87,-5.18,2.86,-0.06,4.33
0.02,-0.055,1.69,-0.62,0.28,0.18,1.66,-1.07,-0.53,3.22,-0.44,1.05,0.77,-5.18,3.11,-0.65,3.47
0.02,-0.06,1.69,-0.62,0.28,0.18,1.66,-1.07,-0.53,3.22,-0.5,1.05,0.26,-5.04,3.11,-0.65,3.04
0.02,-0.065,1.69,-0.62,0.28,0.18,1.66,-0.69,-0.53,3.76,-0.5,1.81,0.26,-5.04,3.11,-1.13,4.24
0.02,-0.07,1.69,-0.37,0.09,0.18,1.38,-0.69,-0.28,3.76,-2.3,1.81,0.26,-4.96,3.11,-1.21,2.47
0.02,-0.075,1.69,-0.31,0.09,0.43,1.92,-0.69,-0.28,3.76,-2.3,1.81,0.26,-4.96,3.11,-1.21,3.32
0.02,-0.08,1.69,-0.31,0.09,0.43,1.6,-0.69,-0.6,3.76,-3.09,1.81,0.26,-4.96,3.11,-0.71,2.39
0.02,-0.085,1.69,-0.31,0.08,0.43,1.7,-0.69,-0.6,3.76,-3.09,1.81,0.26,-5.57,3.11,-0.71,1.87
0.02,-0.09,1.69,-0.31,0.08,0.43,1.7,-0.93,-0.86,3.69,-3.09,1.81,-0.08,-5.57,3.11,-0.11,1.56
0.02,-0.095,1.69,-0.42,0.08,0.43,1.7,-0.93,-0.86,3.69,-3.09,0.62,-0.08,-5.57,3.15,-0.11,0.3
0.02,-0.1,1.69,-0.42,0.08,0.43,1.7,-0.93,-0.86,3.69,-3.09,0.62,-0.08,-5.57,3.15,-0.11,0.3
0.02,-0.105,1.69,-0.42,0.08,0.43,1.7,-0.93,-0.86,3.69,-3.24,0.95,-0.08,-5.57,3.15,-0.11,0.48
0.02,-0.11,1.69,-0.42,0.08,0.43,1.7,-0.93,-0.68,3.69,-3.24,0.95,-0.08,-5.57,3.15,-0.11,0.66
0.02,-0.115,1.69,-0.42,0.08,0.43,1.7,-0.93,-0.68,3.69,-3.24,0.95,-0.08,-5.57,3.15,-0.11,0.66
0.02,-0.12,1.69,-0.42,0.08,0.43,1.7,-0.93,-0.68,3.69,-3.24,1.03,-0.08,-5.57,3.15,-0.11,0.74
0.02,-0.125,1.69,-0.42,-0.08,0.43,1.7,-0.98,-0.78,3.69,-3.24,0.93,-0.08,-5.01,3.15,-0.11,0.89
0.02,-0.13,1.69,-0.42,-0.08,0.43,1.7,-0.98,-0.78,3.69,-3.24,0.93,-0.08,-5.01,3.15,-0.11,0.89
0.02,-0.135,1.69,-0.42,-0.08,0.43,1.7,-0.98,-0.91,3.69,-3.24,0.93,-0.08,-5.01,3.15,-0.11,0.76
0.02,-0.14,1.69,-0.42,-0.08,0.43,1.7,-0.98,-0.91,3.69,-3.24,0.93,-0.08,-4.93,3.15,-0.11,0.84
0.02,-0.145,1.69,-0.42,-0.08,0.43,1.7,-0.98,-0.91,3.9,-3.24,0.93,-0.08,-4.93,3.15,-0.11,1.05
0.02,-0.15,1.69,-0.42,-0.08,0.43,1.7,-0.98,-0.91,3.9,-3.24,0.93,-0.08,-4.93,3.15,-0.11,1.05
0.02,-0.155,1.69,-0.42,-0.08,0.43,1.7,-0.98,-0.91,3.9,-3.24,0.93,-0.08,-4.93,3.15,-0.11,1.05
0.02,-0.16,1.69,-0.42,-0.08,0.43,1.7,-0.98,-0.91,3.9,-3.24,0.93,-0.08,-4.93,3.15,-0.11,1.05
0.02,-0.165,1.69,-0.42,-0.08,0.43,1.45,-0.98,-0.91,3.9,-3.24,0.93,-0.08,-4.93,3.15,-0.11,0.8
0.02,-0.17,1.69,-0.42,-0.08,0.43,1.45,-0.98,-0.91,3.9,-3.24,0.93,-0.08,-4.93,3.15,-0.11,0.8
0.02,-0.175,1.69,-0.42,-0.08,0.43,1.45,-0.98,-0.91,3.9,-3.24,0.93,-0.08,-4.93,3.15,-0.11,0.8
0.02,-0.18,1.69,-0.42,-0.08,0.43,1.45,-0.98,-0.91,3.9,-3.24,0.93,-0.08,-4.93,3.15,-0.11,0.8
0.02,-0.185,1.69,-0.42,-0.08,0.43,1.45,-0.98,-0.91,3.9,-3.24,0.93,-0.08,-4.93,3.15,-0.11,0.8
0.02,-0.19,1.69,-0.42,-0.08,0.43,1.45,-0.98,-0.91,3.9,-3.24,0.93,-0.08,-4.93,3.15,-0.11,0.8
0.02,-0.195,1.69,-0.42,-0.08,0.43,1.45,-0.98,-0.91,3.9,-3.24,0.93,-0.08,-4.93,3.15,-0.11,0.8
0.02,-0.2,1.69,-0.42,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,0.93,-0.08,-4.93,3.15,-0.11,-1.2
0.02,-0.205,1.69,-0.42,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,0.93,-0.08,-4.93,3.15,-0.11,-1.2
0.02,-0.21,1.69,-0.42,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,0.93,-0.08,-4.93,3.15,-0.11,-1.2
0.02,-0.215,1.69,-0.42,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,0.93,-0.08,-4.93,3.15,-0.11,-1.2
0.02,-0.22,1.69,-0.42,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,0.93,-0.08,-4.93,3.15,-0.11,-1.2
0.02,-0.225,1.69,-0.42,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,0.93,-0.08,-4.93,3.15,-0.11,-1.2
0.02,-0.23,1.69,-0.42,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,0.93,-0.08,-4.93,3.15,-0.11,-1.2
0.02,-0.235,1.69,-0.42,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,0.93,-0.08,-4.93,3.15,-0.11,-1.2
0.02,-0.24,1.69,-0.42,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,0.93,-0.08,-4.93,3.15,-0.11,-1.2
0.02,-0.245,1.69,-0.42,-0.08,0.43,-0.55,-0.98,-0.91,3.9,-3.24,0.93,-0.08,-4.93,3.15,-0.11,-1.2
0.015,0.0,0.19,-1.44,0.45,-0.16,-1.07,-2.77,-1.23,0.32,-2.5,0.49,-1.83,-2.31,2.69,-0.8,-9.97
0.015,-0.005,0.1,-0.76,0.45,-0.39,-1.11,-2.64,-1.42,0.51,-2.62,0.41,-1.85,-2.31,2.38,-0.6,-9.85
0.015,-0.01,0.74,-0.96,0.61,-0.71,-0.77,-2.24,-0.51,0.57,-1.94,1.8,-0.89,-1.95,2.49,-1.17,-4.93
0.015,-0.015,0.78,-0.3,0.49,-0.77,-0.5,-2.29,-0.02,0.64,-1.53,1.54,-1.09,-2.36,2.87,-1.35,-3.89
0.015,-0.02,1.14,-0.36,0.69,-0.5,-0.15,-2.19,-1.22,0.79,-0.61,1.63,-0.69,-4.44,3.2,-1.63,-4.34
0.015,-0.025,0.97,-1.32,0.69,-0.31,-0.41,-1.79,-1.41,0.79,-0.19,1.87,-0.79,-5.03,2.71,-1.48,-5.7
0.015,-0.03,0.97,-1.3,0.69,-0.18,-1.02,-1.62,-0.27,1.22,-0.02,1.54,-0.66,-5.05,2.93,-1.95,-4.72
0.015,-0.035,1.94,-1.0,0.05,-0.04,-1.08,-2.43,-0.27,1.38,-0.37,1.49,-0.31,-5.48,2.6,-1.54,-5.06
0.015,-0.04,1.94,-1.13,0.05,-0.03,0.58,-2.25,-0.28,1.44,-0.28,1.08,0.3,-5.25,2.68,-1.55,-2.7
0.015,-0.045,1.94,0.12,0.05,-0.05,0.35,-2.25,-0.37,1.72,-0.47,1.08,0.46,-5.25,3.11,-1.55,-1.11
0.015,-0.05,1.94,-0.47,0.28,0.18,0.65,-1.8,-0.37,1.95,-0.7,1.08,0.46,-5.18,3.14,-1.12,0.04
